AccX,AccY,AccZ
-0.1197,0.0359,-0.1269
-8.3773,3.0023,-5.9568
-8.26,2.9975,-5.3678
-8.5928,2.9999,-5.6
-8.0972,3.0263,-5.2744
-8.1499,2.2817,-5.9185
-8.0661,3.1412,-5.6024
-8.3989,3.3136,-6.4979
-7.7428,3.3782,-5.8299
-7.9224,3.5195,-6.3422
-7.6495,3.6248,-6.0717
-7.5729,3.6607,-6.3494
-7.7788,3.5362,-6.1483
-7.6447,4.5322,-5.9664
-7.7357,3.2609,-6.4787
-7.7117,3.474,-6.3422
-7.7764,3.1484,-6.4763
-7.8195,2.6312,-6.62
-7.9224,2.2721,-6.4117
-8.3342,3.4668,-6.213
-7.6567,3.3734,-6.6367
-7.8458,3.3016,-6.371
-7.5633,3.4093,-6.3231
-7.6998,3.6176,-6.754
-7.5537,3.2082,-6.4955
-7.5729,3.6081,-6.3327
-7.4268,3.8451,-6.4955
-7.5465,4.2449,-6.2153
-7.6567,3.8547,-6.4045
-7.6064,3.6176,-6.517
-7.5896,3.4788,-6.5314
-7.8458,2.7078,-6.4907
-7.7309,2.6432,-6.7804
-7.4747,3.237,-6.3805
-7.6184,3.6272,-6.1172
-7.1515,3.9792,-6.1196
-7.1491,3.2944,-6.7732
-7.3957,3.2154,-7.0222
-6.8163,3.2777,-6.9935
-7.1802,3.4668,-6.9288
-6.9599,3.2729,-7.3478
-7.7309,3.4716,-6.924
-7.422,3.1532,-6.7014
-7.5106,3.3686,-6.7995
-7.276,3.7254,-6.5529
-7.4915,3.7565,-6.766
-7.5824,3.7254,-6.4787
-7.4627,3.5961,-6.4859
-7.355,3.7685,-6.675
-7.4029,3.5889,-6.6511
-7.3239,4.3096,-6.4883
-7.4986,3.2106,-6.8115
-7.4843,3.213,-6.9312
-7.4723,3.541,-6.766
-8.3606,3.5314,-5.2122
-8.3366,2.8659,-5.7365
-8.4443,1.9297,-5.6216
-8.5186,1.5586,-5.7078
-8.3294,2.3607,-6.3231
-8.0996,2.3798,-6.371
-8.0325,2.9592,-5.7868
-8.1068,3.2729,-5.5043
-7.762,3.6799,-5.43
-8.0661,3.7493,-5.7724
-7.932,2.6719,-5.6383
-8.4587,3.3447,-5.6814
-8.2073,3.474,-5.4612
-8.6287,3.5314,-5.6383
-8.1187,3.948,-5.3439
-8.1499,3.8092,-5.6216
-8.3821,3.1412,-5.4468
-8.3845,2.581,-5.6958
-8.3175,2.5857,-5.8083
-0.0335,0.0239,-0.1604
-8.6048,1.6688,-8.3127
-7.3406,2.4229,-7.999
-7.6734,3.0933,-6.6774
-8.0541,1.6592,-6.5649
-8.1858,0.8164,-6.4691
-8.6359,1.1061,-6.6032
-8.0302,2.2098,-6.4739
-7.7333,2.217,-6.189
-8.09,2.3128,-6.6056
-8.1594,2.1979,-6.3351
-7.9847,2.1596,-6.4308
-7.865,2.6743,-6.4979
-7.9416,2.5163,-6.6032
-8.1642,2.5307,-5.8227
-7.6471,2.897,-6.8211
-7.6184,2.6025,-6.8905
-7.6638,2.5307,-6.8666
-8.2911,2.6193,-5.7652
-8.3606,2.6145,-5.6982
-8.2791,1.8172,-6.1746
-8.2097,1.2139,-6.1411
-8.2887,2.2194,-5.9592
-8.3222,2.1308,-6.0478
-8.2121,2.3942,-6.3159
-8.2624,1.9178,-5.6575
-7.7261,2.715,-5.3726
-8.0732,2.8946,-5.8083
-8.4898,3.1005,-5.8538
-8.2313,3.237,-5.8466
-8.3007,3.2657,-5.7245
-8.4587,3.1029,-5.3941
-8.2624,3.8595,-5.4229
-8.3127,2.5474,-5.8299
-8.2169,2.5139,-5.9903
-8.3797,2.5187,-5.7748
-8.2408,2.5019,-5.9448
-8.3606,1.8028,-6.0406
-7.9966,1.3958,-6.4452
-8.3701,2.6695,-5.4875
